,name,aro,ava,regional_name,aro_swaras,ava_swaras,kritis,aro_seq,ava_seq,category,swaras,melam_num,janaka_melam,janaka,chakra,chakra_num,hind,songs,alternates,same_aro,same_ava,one_swara_diff,varnams
38,sitakalyani,"['s', 'r1', 'g1', 'p', 'd2', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'g1', 'r1', 's']",సీతాకళ్యాణి,"['షడ్జమం', 'సుద్ద  రిషభం', 'సుద్ద  గాంధారం', 'పంచమం', 'చతుశృతి దైవతం', 'కైసికి నిషాదం', 'షడ్జమం']","['షడ్జమం', 'కైసికి నిషాదం', 'చతుశృతి దైవతం', 'పంచమం', 'సుద్ద  గాంధారం', 'సుద్ద  రిషభం', 'షడ్జమం']",[],S|R1|G1|P|D2|N2|S',S'|N2|D2|P|G1|R1|S,శాడవ,"['n2', 's.', 'r1', 'g1', 's', 'p', 'd2']",,10,నటకప్రియ,,,[],[],[],['కయజప్రియ'],"['కయజప్రియ', 'తాంత్రిలీల']","['వనస్పతి', ' ప్రతాపవరాలి', 'రసాలి', 'భానుమతి', 'విసిఅంబరీ']",[]
39,sitakirani,"['s', 'r2', 'g2', 'm2', 'p', 'd1', 'n1', 's.']","['s.', 'n1', 'd1', 'n1', 'p', 'm2', 'g2', 's']",సీతకిరని,"['షడ్జమం', 'చతుశృతి రిషభం', 'సాధారణ  గాంధారం', 'ప్రతి మధ్యమం', 'పంచమం', 'సుద్ద దైవతం', 'సుద్ద నిషాదం', 'షడ్జమం']","['షడ్జమం', 'సుద్ద నిషాదం', 'సుద్ద దైవతం', 'సుద్ద నిషాదం', 'పంచమం', 'ప్రతి మధ్యమం', 'సాధారణ  గాంధారం', 'షడ్జమం']",[],S|R2|G2|M2|P|D1|N1|S',S'|N1|D1|N1|P|M2|G2|S,సంపూర్ణ-శాడవ,"['d1', 'n1', 'g2', 's.', 'm2', 's', 'r2', 'p']",,55,షామలంగి,,,[],[],[],"['శ్యామలాంగి', 'కామతధ్వజం', 'గిటికిరాని', 'శ్రితక్రని']",[],"['కుంతలం', 'కాంతామణి', 'ఝానకరధ్వని', 'యౌతకం', 'వీసాకిని']",[]
40,tittanam,"['s', 'g2', 'p', 'd1', 's.']","['s.', 'n3', 'p', 'm2', 'r1', 's']",తిత్తానం,"['షడ్జమం', 'సాధారణ  గాంధారం', 'పంచమం', 'సుద్ద దైవతం', 'షడ్జమం']","['షడ్జమం', 'కాకలి  నిషాదం', 'పంచమం', 'ప్రతి మధ్యమం', 'సుద్ద  రిషభం', 'షడ్జమం']",[],S|G2|P|D1|S',S'|N3|P|M2|R1|S,స్వరాంతర-ఔడవ,"['d1', 'g2', 'n3', 's.', 'm2', 'r1', 's', 'p']",,45,శుభపంతువరాలి,,,[],[],[],"['వనన్', 'వరితే', 'మేఘవర్ణ', 'సాయిసిరి', 'పుంగలి', 'కేతుమాలన్', 'తిరుక్కిలత్తి', 'వాడనియన్', 'కేతు', 'వర్కరి', 'తలిచం', 'మహితన్', 'మధుపాటి', 'తందురై', 'తతకతమన్మలై', 'షెరాన్', 'శుధ్ధమరువ', 'ఏకనాయక', 'శాంతస్వరూపి', ' తమనిధిమలై', 'కీచకారీ', 'జ్ఞానవల్లి', 'పున్నం', 'పుషుదైప్రియ', 'మాంగళ్']","['తిండకం', 'రౌద్రగాంధారి', 'శుభవతి', 'గమనానిర్మల', 'యామిని', 'తోడుక్కమ్', 'గరుడవర్ధిని']","['వరాలి', 'కామవర్ధిని', 'పూర్వి', 'సింహేంద్రమధ్యమాం', 'అమృతవర్షని']",[]
41,titta,"['s', 'g2', 'm2', 'd1', 'n3', 's.']","['s.', 'n3', 'd1', 'm2', 'g2', 's']", తిట్ట,"['షడ్జమం', 'సాధారణ  గాంధారం', 'ప్రతి మధ్యమం', 'సుద్ద దైవతం', 'కాకలి  నిషాదం', 'షడ్జమం']","['షడ్జమం', 'కాకలి  నిషాదం', 'సుద్ద దైవతం', 'ప్రతి మధ్యమం', 'సాధారణ  గాంధారం', 'షడ్జమం']","[['నాద తనుమనిషం', 'త్యాగరాజ', 'http://www.karnatik.com/c1184.shtml']]",S|G2|M2|D1|N3|S',S'|N3|D1|M2|G2|S,ఔడవ,"['d1', 'g2', 'n3', 's.', 'm2', 's']",,57,సింహేంద్రమధ్యమాం,,,[],[],[],['టింత్రిని'],"['టింత్రిని', 'శుధ్ధస్వరవళి', 'సర్వాంగీ', 'అమృతవసంత', 'తరుకాన్ని']","['కాటారం', 'ఛాయరంజని', 'విరహాన్', 'విలక్షణ', ' వరునత్మజ']",[]
42,umabharana,"['s', 'r2', 'g3', 'm1', 'p', 'd2', 'n2']","['s.', 'n2', 'p', 'm1', 'r2', 'g3', 'm1', 'r2', 's']",ఉమాభరణ,"['షడ్జమం', 'చతుశృతి రిషభం', 'అంతర గాంధారం', 'సుద్ద మధ్యమం', 'పంచమం', 'చతుశృతి దైవతం', 'కైసికి నిషాదం']","['షడ్జమం', 'కైసికి నిషాదం', 'పంచమం', 'సుద్ద మధ్యమం', 'చతుశృతి రిషభం', 'అంతర గాంధారం', 'సుద్ద మధ్యమం', 'చతుశృతి రిషభం', 'షడ్జమం']","[['హయగ్రీవ అగస్త్య', 'ముథీహ్ భగవతర్', ''], ['నిజ మర్మములను దెలిసిన', 'త్యాగరాజ', ''], ['హయగ్రీవ  అగస్త్య', 'ముథీహ్ భగవతర్', 'http://www.karnatik.com/c2064.shtml'], ['నిజ మర్మములను', 'త్యాగరాజ', 'http://www.karnatik.com/c2658.shtml']]",S|R2|G3|M1|P|D2|N2,S'|N2|P|M1|R2|G3|M1|R2|S,సంపూర్ణ-శాడవ,"['m1', 'n2', 's.', 's', 'r2', 'p', 'd2', 'g3']",,28,హరికాంభోజి,,,[],[],[],"['కంభవతి', 'ద్వైతపరిపూరని']","['అంధోలోక', 'దుర్ధక్యాయం']","['ఖరహరప్రియ', 'సారంగ', 'జన్జుటి', 'షహానా', 'నాగకురింజి']",[]
43,umbalam,"['s', 'g3', 'p', 'd1', 's.']","['s.', 'n3', 'p', 'm2', 'r2', 's']",ఉమ్బలం,"['షడ్జమం', 'అంతర గాంధారం', 'పంచమం', 'సుద్ద దైవతం', 'షడ్జమం']","['షడ్జమం', 'కాకలి  నిషాదం', 'పంచమం', 'ప్రతి మధ్యమం', 'చతుశృతి రిషభం', 'షడ్జమం']",[],S|G3|P|D1|S',S'|N3|P|M2|R2|S,స్వరాంతర-ఔడవ,"['d1', 'n3', 's.', 'm2', 's', 'r2', 'p', 'g3']",,63,లతంగి,,,[],[],[],"['నవ్వి', 'చిత్రప్పలవి', 'నమై', 'భవహంస', 'ఇన్నిశాక్కడల్', 'ఏజహిళానాయకి', 'శ్రీఆదిత్య', 'నరుంతోఘై', 'దేవకుంజరిప్రియన్', 'అంబికేయ', 'నెల్లైనాయకి', 'నివరం', 'భ్రాత', 'కనకసభై', 'ఉవకై']","['వరదా', 'కనకభైరవి', 'విరన్', 'వర్కరి', 'హంసనాదం', ' ముచధ్వని', 'అందలినవరసం', 'మదర్మని', 'పింజకన్', 'స్కందమనోరమా', 'నవీనహంసనదా']","['కుంతలం', 'కాంతామణి', 'దేశ', 'ధాతువర్ధని', ' చిత్రంబరి']",[]
44,kalivasantam,"['s', 'r1', 'g2', 'm2', 'p', 'd1', 's.']","['s.', 'n1', 'p', 'm2', 'g2', 'r1', 's']",కాళివసంతం,"['షడ్జమం', 'సుద్ద  రిషభం', 'సాధారణ  గాంధారం', 'ప్రతి మధ్యమం', 'పంచమం', 'సుద్ద దైవతం', 'షడ్జమం']","['షడ్జమం', 'సుద్ద నిషాదం', 'పంచమం', 'ప్రతి మధ్యమం', 'సాధారణ  గాంధారం', 'సుద్ద  రిషభం', 'షడ్జమం']",[],S|R1|G2|M2|P|D1|S',S'|N1|P|M2|G2|R1|S,శాడవ,"['d1', 'n1', 'g2', 's.', 'm2', 'r1', 's', 'p']",,43,గవాంభోది,,,[],[],[],"['కోకిలదీప్తం', 'ప్రభాస', 'తారకపతిప్రియ', 'వళవన్', 'తారతలం', 'స్వర్ణదీపకం', 'కోకిలగీర్వాణి', 'వల్లవన్', 'తరుకనలన్', 'తరంగు', 'దివ్యకుంతల', 'జ్నలితం', 'సామంతవేళవాలి', 'తట్టంగి']","['మేచకాంభోజి', 'గోపికభరణం']","['సావేరి', 'శుభపంతువరాలి', 'సాలగభైరవి', 'భవప్రియ', 'గోదారి']",[]
45,deshyasindhumalavi,"['s', 'r2', 'g3', 'm2', 'p', 'd2', 'n3', 's.']","['s.', 'd2', 'p', 'g3', 'r2', 's']",దేశ్యసింధుమలవి,"['షడ్జమం', 'చతుశృతి రిషభం', 'అంతర గాంధారం', 'ప్రతి మధ్యమం', 'పంచమం', 'చతుశృతి దైవతం', 'కాకలి  నిషాదం', 'షడ్జమం']","['షడ్జమం', 'చతుశృతి దైవతం', 'పంచమం', 'అంతర గాంధారం', 'చతుశృతి రిషభం', 'షడ్జమం']",[],S|R2|G3|M2|P|D2|N3|S',S'|D2|P|G3|R2|S,సంపూర్ణ-ఔడవ,"['n3', 's.', 'm2', 's', 'r2', 'p', 'd2', 'g3']",,65,మేచకళ్యాణి,,,[],[],[],"['ఆదికావింపిరియన్', 'సరసకళ్యాణి', 'మేచకళ్యాణి', 'దేవధన్యాసి', 'సనాతనికళ్యాణి', 'శాంతకళ్యాణి', 'సుప్రసవినీ', 'శశిధరిత్రి', 'మాల్వసింధు', 'శ్రితానుకీర్తి', 'యమునా', ' సింధుదేశ్యమలవి', 'హుత్తరి', 'దాటిబలం', ' తష్పిపల', 'హంవీరు', 'మైత్రభవిని', 'హోత్రరి']","['శుధ్ధకాంతం', 'దేవాత్తిరు', 'శంకరమోహన', 'దినకరన్', 'శశిధరిత్రి', 'భూప్', 'నటనామోహన', 'మోహనం', 'కలాభరణం', 'దీపికవిజయం', 'మకనకభావని', 'గరుడధ్వని', 'మాకనకగిరి', 'ముకుందవాచస్పతి', 'దేవహంసధ్వని', 'శివగంగై']","['ధీరశంకరాభరణం', 'కళ్యాణి', 'బేగడ', 'బిలహరి', 'అతనా']",[]
46,shuddhanata,"['s', 'g3', 'm1', 'p', 'n3', 's.']","['s.', 'n3', 'p', 'm1', 'g3', 's']",షుద్ధనత,"['షడ్జమం', 'అంతర గాంధారం', 'సుద్ద మధ్యమం', 'పంచమం', 'కాకలి  నిషాదం', 'షడ్జమం']","['షడ్జమం', 'కాకలి  నిషాదం', 'పంచమం', 'సుద్ద మధ్యమం', 'అంతర గాంధారం', 'షడ్జమం']",[],S|G3|M1|P|N3|S',S'|N3|P|M1|G3|S,ఔడవ,"['m1', 'n3', 's.', 's', 'p', 'g3']",,29,ధీరశంకరాభరణం,,,[],[],[],"['సహులి', 'రామచుదమని', 'మల్లికావసంతం', 'త్రిశులిని', 'గాంభీర్యాణత', 'మార్గభద్ర', 'మల్లారి', 'అరుణచంద్రిక', 'ఉరగమంజరి', 'మదనరేఖ', 'వేదండగమన', 'మన్దశ్రాంత', 'సామంతమల్లార్', 'రుద్రాభిషేకం', 'శివానకిని', 'సత్కవిత', 'శెంగల్వరై', 'ఉప్పై', 'సెచ్చై', 'జజలవాసిని', 'జలజవాసిని', 'ముడువన్', 'వేగవదిత్య', 'హిందుస్తానీబేహాగ్', 'ముకుందమంజరి', 'జగన్మోహిని', 'కమలమనోహరి']","['నాదప్రియ', 'షికారి', 'సీనక్కరమ్', 'శివశీరుమణి', 'స్మసి', 'వసంతమనోహరి', 'మల్లారి', 'శెంగుంరీ', 'అరుణచంద్రిక', 'వేదండగమన', 'ప్రతాపకోకిల', 'దేవికారకం', 'శుద్ధాకన్నడ', 'నాగనిలంబరి', 'దేవనాయకి', 'శుధ్ధజింగల', ' శశివదన']","['హంసాధ్వని', 'కేదరం', 'పూర్ణచంద్రిక', 'నాగస్వరవాలి', 'జగన్మోహిని']",[]
47,sukhasundari,"['s', 'g2', 'm1', 'd1', 's.']","['s.', 'n2', 'p', 'm1', 'g2', 'r1', 's']",సుఖసుందరి,"['షడ్జమం', 'సాధారణ  గాంధారం', 'సుద్ద మధ్యమం', 'సుద్ద దైవతం', 'షడ్జమం']","['షడ్జమం', 'కైసికి నిషాదం', 'పంచమం', 'సుద్ద మధ్యమం', 'సాధారణ  గాంధారం', 'సుద్ద  రిషభం', 'షడ్జమం']",[],S|G2|M1|D1|S',S'|N2|P|M1|G2|R1|S,స్వరాంతర-శాడవ,"['m1', 'd1', 'n2', 'g2', 's.', 'r1', 's', 'p']",,8,హనుమతోడి,,,[],[],[],"['జ్ఞాని', 'మమంజు', 'కీలులవధ్వని', 'సకలలోక', 'ధీరవరాలి', 'శ్రీకేశవప్రియ', 'షెర్మాన్', 'శివమంజు']","['ఇదిక్కోడియోన్', 'సబందం', ' అమృతధన్యాసి', ' గోమూర్తకం', 'నాదగిరి', 'మౌత్కధన్యాసి', 'భారతి', 'రాజరత్న', 'సమంతశ్రీమణి', ' కాలహంసగమిని', 'అప్సన్', 'అంధర్మదేవి', 'సారతిగౌళ', 'తిరుచ్చెన్దిల్వేల్', 'అసురగురు', 'అత్సపక']","['ముఖరీ', 'ఆనందభైరవి', 'ఆనంద', 'పున్నాగవరాలి', ' అసావేరి']",[]
48,vitanashanki,"['s', 'r3', 'g3', 'm1', 'p', 'd1', 'n3', 's.']","['s.', 'd1', 'p', 'm1', 'p', 'g3', 'r3', 's']",విత్తనాశంకి,"['షడ్జమం', 'షట్శృతి రిషభం', 'అంతర గాంధారం', 'సుద్ద మధ్యమం', 'పంచమం', 'సుద్ద దైవతం', 'కాకలి  నిషాదం', 'షడ్జమం']","['షడ్జమం', 'సుద్ద దైవతం', 'పంచమం', 'సుద్ద మధ్యమం', 'పంచమం', 'అంతర గాంధారం', 'షట్శృతి రిషభం', 'షడ్జమం']",[],S|R3|G3|M1|P|D1|N3|S',S'|D1|P|M1|P|G3|R3|S,సంపూర్ణ-శాడవ,"['m1', 'd1', 'n3', 's.', 's', 'p', 'r3', 'g3']",,33,గాంగేయభూషణి,,,[],[],[],"['గాంగేయభూషణి', 'గంగాతరంగిణీ', 'గీతమూర్తి']",[],"['మాయామాళవగౌళ రాగము', 'నాటా', 'గౌళిపంతు', 'సరసాంగి', 'పరజు']",[]
49,vijayashri,"['s', 'r1', 'g1', 'm2', 'p', 'n3', 's.']","['s.', 'n3', 'p', 'm2', 'g1', 'r1', 's']",విజయష్రి,"['షడ్జమం', 'సుద్ద  రిషభం', 'సుద్ద  గాంధారం', 'ప్రతి మధ్యమం', 'పంచమం', 'కాకలి  నిషాదం', 'షడ్జమం']","['షడ్జమం', 'కాకలి  నిషాదం', 'పంచమం', 'ప్రతి మధ్యమం', 'సుద్ద  గాంధారం', 'సుద్ద  రిషభం', 'షడ్జమం']","[['వర నారద నారాయణ', 'త్యాగరాజ', ''], ['ఆనందరూపం', 'ముథీహ్ భగవతర్', 'http://www.karnatik.com/c1952.shtml'], [' నీలాయతాక్షిహి', 'ముథీహ్ భగవతర్', 'http://www.karnatik.com/c2147.shtml'], ['వర నారద', 'త్యాగరాజ', 'http://www.karnatik.com/c2913.shtml']]",S|R1|G1|M2|P|N3|S',S'|N3|P|M2|G1|R1|S,శాడవ,"['n3', 's.', 'm2', 'r1', 'g1', 's', 'p']",,41,పావని,,,[],[],[],"['జ్వలిక', 'గిరిశప్రియ', 'అదిదేశ్య']","['హంసవవేళావళి', 'కుంభిని', 'గిరిశప్రియ', 'నటనవేళవలి', 'రవిక్రియ', 'ప్రతిమధ్యమం', 'మేచసావేరి', 'రవిక్రియ', 'ధౌలికై']","['వరాలి', 'పరై', 'అమృతవర్షని', 'రఘప్రియ', ' ప్రతాపవరాలి']",[]
